code_region;name;qualified_name
01;Guadeloupe;Région de la Guadeloupe
02;Martinique;Région de la Martinique
03;Guyane;Région de la Guyane
04;La Réunion;Région de la Réunion
06;Mayotte;Région de Mayotte
11;Ile-de-France;Région Ile-de-France
24;Centre-Val de Loire;Région Centre-Val de Loire
27;Bourgogne-Franche-Comté;Région Bourgogne-Franche-Comté
28;Normandie;Région Normandie
32;Hauts-de-France;Région des Hauts-de-France
44;Grand Est;Région Grand Est
52;Pays de la Loire;Région des Pays de la Loire
53;Bretagne;Région Bretagne
75;Nouvelle-Aquitaine;Région Nouvelle-Aquitaine
76;Occitanie;Région Occitanie
84;Auvergne-Rhône-Alpes;Région Auvergne-Rhône-Alpes
93;Provence-Alpes-Côte d'Azur;Région Provence-Alpes-Côte d'Azur
94;Corse;Collectivité de Corse